"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"3";"";"233-206";"233-206";"X1, X2, X3";"WAGO Cage Clamp";"";"233-206";"1283536";"28K9063";"";"";
"2";"";"PINHD-1X4";"1X04";"JP5, JP6";"PIN HEADER";"";"";"";"";"";"";
"1";"";"TASTER-9314_SMD";"TASTER-9314_SMD";"S1";"";"";"";"";"";"";"";
"1";"0R";"R-EU_R0805";"R0805";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"100k";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"10k";"R-TRIMMT93YB";"RTRIMT93YB";"R4";"Trimm resistor";"";"";"";"";"";"";
"2";"10u";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"1k";"R-EU_R0805";"R0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"20k";"R-TRIMMT93YB";"RTRIMT93YB";"R10";"Trimm resistor";"";"";"";"";"";"";
"6";"330R";"R-EU_R0805";"R0805";"R13, R14, R15, R16, R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"";
"4";"470k";"R-EU_R0805";"R0805";"R5, R6, R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"47k";"R-EU_R0805";"R0805";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"4k7";"R-EU_R0805";"R0805";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"BMP085";"BMP085";"BREAKOUT";"U$3";"";"";"";"";"";"";"";
"6";"BZX84CSMD";"BZX84CSMD";"TO236";"D1, D2, D3, D4, D5, D6";"Z DIODE";"";"";"";"";"";"";
"1";"DS18S20";"DS18S20";"TO-92";"U$5";"";"";"";"";"";"";"";
"1";"HEXABUS";"HEXABUS";"HEXABUS";"U$1";"";"";"";"";"";"";"";
"1";"HYT271-THT";"HYT271-THT";"HYT271-THT";"U$2";"";"";"";"";"";"";"";
"1";"LM1117MP-3.3";"LM1117MP-3.3";"SOT230P696X180-4N";"U1";"Linear regulators";"";"LM1117MP-3.3";"9778195";"41K3470";"SOT223-3";"NationalSemiconductor";
"1";"LM324D";"LM324D";"SOIC127P600X175-14N";"U2";"Low power quad operational amplifiers";"";"LM324D";"1467655";"72K8847";"SOIC-14";"STMicroelectronics";
